abs_mn,abs_rel,sq_rel,rms,log_rms,a1,a2,a3
0.41612428,0.48769087,0.6482438,0.74061924,0.4942969,0.6446456,0.79626346,0.82469183
0.23052312,0.18614276,0.07495362,0.30400652,0.22084752,0.65067804,0.9551413,1.0
0.4053935,0.27350992,0.1738839,0.52589047,0.31929344,0.47062138,0.8239762,0.9668462
0.31850243,0.42693236,0.29629034,0.44304734,0.43703207,0.39234468,0.82211286,0.85723966
0.7541516,0.8102796,2.9486022,1.6457113,0.6799115,0.68938786,0.8199782,0.8433368
0.18240905,0.15089922,0.04501394,0.23251183,0.17574643,0.7877132,0.99999994,0.99999994
0.13943274,0.2489973,0.08077541,0.21238102,0.28609213,0.7410472,0.85709447,0.94630754
1.0154412,0.74348265,2.739456,1.8636327,0.64417166,0.48355263,0.7950728,0.82260174
0.5741798,0.38380525,0.51724863,0.8373349,0.4328997,0.4617905,0.777447,0.86626685
0.30410063,0.37494436,0.4666935,0.61712104,0.43321472,0.7762617,0.8185576,0.82782924
0.17397259,0.13967139,0.03425572,0.2073036,0.15678915,0.90279466,1.0,1.0
0.7631755,0.3816952,0.53112817,1.0780011,0.5105404,0.5203234,0.5936199,0.7053821
0.12568048,0.2855171,0.08243954,0.1893137,0.3180491,0.7181527,0.8219602,0.9155025
0.44855073,0.34355128,0.30469772,0.6569286,0.40464935,0.5305292,0.7383076,0.86995816
0.41924524,0.41788068,0.76812077,0.8555811,0.46175012,0.7709372,0.8384535,0.8489195
0.39302924,0.44279462,0.58435786,0.6996554,0.46340126,0.705335,0.8060437,0.8371839
0.39806083,0.42793456,0.4632325,0.6275802,0.47856098,0.58292186,0.7474717,0.82701886
1.2480248,0.6269937,1.9686128,1.8711429,0.6338508,0.41463307,0.58380693,0.67402107
0.1428535,0.3377711,0.11160206,0.21578889,0.36251143,0.6593687,0.80076003,0.87131846
0.7344132,0.45746607,0.8740788,1.1098094,0.50073755,0.48840106,0.68835735,0.8586938
0.24393061,0.25214985,0.12139267,0.34913778,0.27813715,0.63752705,0.87058914,0.9838083
0.2053543,0.16005966,0.089535095,0.32941896,0.21195185,0.804068,0.9397931,0.9745897
0.30722645,0.19803254,0.14843261,0.48073947,0.24313726,0.765352,0.8861097,0.9906124
0.34103993,0.41856527,0.42730325,0.5812839,0.44685233,0.5896834,0.8132791,0.8426533
0.385088,0.24736153,0.23616537,0.5935953,0.29506764,0.7235776,0.8473061,0.9118535
0.7356474,0.38792756,0.5988259,1.0521472,0.4628152,0.44904664,0.6718844,0.83041316
0.35705748,0.32067892,0.43436965,0.69561064,0.38900355,0.78371286,0.8149279,0.8255157
0.5511775,0.50692165,0.9350622,0.947919,0.51676214,0.5657722,0.8047349,0.855654
0.19311577,0.16571788,0.08964027,0.32057247,0.21976689,0.8269015,0.9070764,0.9853808
0.7063626,0.42794222,0.8737994,1.1693771,0.46970123,0.5937465,0.7636967,0.81443864
0.5620934,0.4722094,0.7004313,0.88457423,0.47800007,0.51695037,0.7762887,0.83658594
0.65534407,0.35864362,0.64339256,1.048824,0.463561,0.59339845,0.71857524,0.79657954
0.30118975,0.21558742,0.10977143,0.44791263,0.30166897,0.62464,0.879478,0.9637264
