abs_mn,abs_rel,sq_rel,rms,log_rms,a1,a2,a3
0.59031296,0.69350016,1.0931679,0.9594829,0.6150742,0.38398492,0.67210835,0.776166
0.2927856,0.22662863,0.08581868,0.33993134,0.26630005,0.5010519,0.93109363,1.0
0.38853237,0.2684602,0.17178783,0.5007913,0.3077055,0.49388087,0.8586626,0.9698889
0.3518988,0.47266456,0.3769911,0.4994,0.487346,0.42913383,0.706846,0.84971565
0.5423526,0.57812613,0.9937831,0.9463821,0.54421,0.44763842,0.8005264,0.8454341
0.2426867,0.19752875,0.0641209,0.2820354,0.23053443,0.6331343,0.95355433,0.99999994
0.26424605,0.47276843,0.4538677,0.50312483,0.48885888,0.6558749,0.812258,0.8466415
1.6198039,1.1298723,5.4163404,2.7146,0.8275564,0.33792928,0.5226064,0.710853
0.78205884,0.5405194,1.2264194,1.2579896,0.53034943,0.41473547,0.7675091,0.8733347
0.32970014,0.41007134,0.42920393,0.5902145,0.4439318,0.64378226,0.8019021,0.8184142
0.22856812,0.18344355,0.073673464,0.30213752,0.21613213,0.670595,0.97017443,0.9989539
0.84619665,0.43349844,0.7079481,1.2028952,0.56817085,0.49904168,0.58683443,0.6395982
0.15283349,0.34596956,0.11465502,0.22378302,0.37114638,0.53154767,0.79384524,0.86269426
0.3964228,0.29282436,0.21796647,0.5757347,0.36366323,0.55915403,0.7570202,0.9246292
0.44726238,0.44615465,0.71295196,0.8180033,0.45993787,0.64544725,0.8291982,0.8788196
0.84188735,0.92868716,2.751385,1.5379107,0.7330233,0.4736994,0.7138907,0.79218763
0.39403617,0.41493085,0.3353232,0.54638433,0.44675946,0.4294124,0.7240971,0.8410135
1.8614112,0.9730954,4.926869,2.8968549,0.8158501,0.24240601,0.4819594,0.59254307
0.25816903,0.6120496,0.5104375,0.461732,0.5737948,0.52562016,0.76763433,0.8124353
1.3053721,0.85625535,3.8406863,2.3079123,0.69755775,0.38975534,0.6909568,0.7905199
0.1980489,0.21448,0.06785235,0.24548908,0.2359094,0.6786196,0.94289976,0.99942756
0.29037642,0.22152324,0.10933158,0.373842,0.25338584,0.5596775,0.9298163,0.99205923
0.59137005,0.38228086,0.5447401,0.9207484,0.4051534,0.5746808,0.76640207,0.8231057
0.22571965,0.26578996,0.09740395,0.28925204,0.31311688,0.5461878,0.7917618,0.9696201
0.4727429,0.2998476,0.2895646,0.66287994,0.34735498,0.53601295,0.7946983,0.90495694
0.6311328,0.32117587,0.42559808,0.90750706,0.4069805,0.52765614,0.7134974,0.89521605
0.22748236,0.20085795,0.093504295,0.3238462,0.23813172,0.7176583,0.86677,1.0
0.58107936,0.5190612,0.85080093,0.91488093,0.52202237,0.4561997,0.75720084,0.8535204
0.45294142,0.39776632,0.39542595,0.6661881,0.40922028,0.49002847,0.77654034,0.86281615
0.7702389,0.46747527,0.82819426,1.1358594,0.4773129,0.39677778,0.7621515,0.8279365
0.580998,0.4683548,0.49210078,0.76206064,0.46971878,0.32620475,0.6542316,0.84617597
0.6574773,0.36417666,0.5630464,0.9855193,0.44811502,0.50401443,0.715355,0.84181553
0.34717786,0.24739805,0.15216899,0.50802094,0.32949772,0.5720522,0.8568857,0.9370837
0.8604502,0.6457805,1.5764152,1.4125924,0.6326637,0.48767978,0.6492424,0.7131836
0.6058597,0.5773561,0.8729449,0.9816734,0.5369821,0.39086697,0.6877225,0.809532
0.3448185,0.2896079,0.16437958,0.4754341,0.3479449,0.4563554,0.8491347,0.92972815
0.34555033,0.31238022,0.15255123,0.42877522,0.3759004,0.41590658,0.74954975,0.93533957
0.36271352,0.45383054,0.33899176,0.50532097,0.47237337,0.3884364,0.6912456,0.83669424
0.3197584,0.37187773,0.36097845,0.5459252,0.4082703,0.5948448,0.8536483,0.86278784
0.913282,0.59635884,1.6373601,1.5077647,0.5615973,0.37171322,0.7363294,0.83771574
0.3113491,0.33724573,0.2052157,0.44032264,0.3793629,0.47357136,0.7466776,0.9266341
0.6340467,0.6702257,1.0321747,0.9593349,0.60375804,0.35209447,0.6503605,0.7746595
0.3988363,0.27964452,0.19451872,0.54196227,0.30970263,0.5929418,0.8224862,0.96327376
0.3137961,0.24527922,0.18602264,0.5135159,0.28373083,0.66746014,0.87739134,0.95713216
0.25019383,0.19343579,0.07960891,0.31989476,0.21869946,0.6955504,0.9534821,1.0
0.98120606,0.9083048,2.3791811,1.551662,0.71850854,0.22466163,0.64159334,0.7692675
0.3196405,0.25498745,0.105286375,0.37004074,0.28261793,0.40761772,0.9561336,0.999876
0.7685181,0.37028033,0.47787273,1.0808424,0.37450552,0.35942304,0.7291803,0.967279
0.48436588,0.49259835,0.59742707,0.7357592,0.5035916,0.44851068,0.71934897,0.83573025
0.37522948,0.31295854,0.18260662,0.47088814,0.35314944,0.52200025,0.7690447,0.9254519
0.34928942,0.74225444,0.45773113,0.44253558,0.62842953,0.31944355,0.5426072,0.70230794
0.46487972,0.45532966,0.7087112,0.8462973,0.4768611,0.6147575,0.80549145,0.83150357
0.3273949,0.6867913,0.73158234,0.58837867,0.6136591,0.5149536,0.75917566,0.79976404
0.36667484,0.43616033,0.36610934,0.55221295,0.44479972,0.47368422,0.7419191,0.84314185
0.5123178,0.6865132,0.59436536,0.6512004,0.6183634,0.17917724,0.36507723,0.7370553
0.6041967,0.36682445,0.9087621,1.2114345,0.4425025,0.6395839,0.80590147,0.8515433
0.22731368,0.21352541,0.12899551,0.3865408,0.25627282,0.77372235,0.9086914,0.9639079
1.02231,0.8270038,2.8152804,1.8008881,0.77610236,0.5770209,0.6791406,0.71676135
0.268904,0.25327957,0.163052,0.4287891,0.29990825,0.6138643,0.8720256,0.94471484
0.44850183,0.5062425,0.6362631,0.72456974,0.51852417,0.4287379,0.65280193,0.8334909
0.33669138,0.6765391,0.72418785,0.59870243,0.6055419,0.4993083,0.76243085,0.80153406
0.42887107,0.4072756,0.8521934,0.9803389,0.449019,0.6210961,0.84510887,0.9001354
0.646071,0.66295075,1.0605786,1.0108432,0.5901615,0.3261631,0.7203835,0.78341115
0.62421566,0.6521903,1.6818511,1.2334565,0.59140253,0.4739037,0.8136348,0.8523325
0.40722263,0.35237375,0.38792792,0.65503836,0.38458827,0.5498522,0.8540262,0.9008271
0.64988315,0.5513269,1.1355813,1.1294938,0.52771175,0.5172244,0.7785838,0.8278852
0.3124326,0.4358034,0.19935288,0.37939957,0.46044365,0.30280882,0.61016446,0.83916205
0.29242498,0.2691064,0.17576638,0.43771172,0.30560708,0.58722967,0.8845413,0.9332458
0.3937486,0.4215131,0.80929667,0.8510402,0.46495277,0.76837,0.8379385,0.87452155
0.26451477,0.325577,0.14831315,0.34976146,0.4053406,0.4932486,0.7579127,0.8858883
0.44986448,0.42702356,0.6015594,0.7562034,0.46770182,0.5594749,0.7472606,0.86833924
0.28803658,0.3924803,0.1787744,0.35271665,0.4053411,0.33998618,0.69626874,0.8989258
0.4815946,0.38241503,0.6844851,0.9231523,0.41922602,0.7410077,0.83204824,0.8649507
0.21929596,0.2776602,0.110523745,0.29523078,0.31073606,0.5364626,0.7777732,1.0
0.4718427,0.54859626,0.75946075,0.7840634,0.528186,0.46324897,0.7585112,0.84969383
0.33025658,0.33918974,0.28459582,0.57786024,0.47586405,0.6607789,0.72218585,0.7852719
0.8419181,1.1251761,3.3827164,1.5747511,0.80207723,0.37966964,0.6188489,0.770376
0.5669822,0.6514437,1.189132,0.9988958,0.58390087,0.40914792,0.76170456,0.8272325
0.2660726,0.30641538,0.14332618,0.34479532,0.34705836,0.4624151,0.8046514,0.9366689
0.40964612,0.27730528,0.26645026,0.6053151,0.33643714,0.572342,0.8759616,0.9368877
0.3291638,0.3150278,0.33669335,0.6074423,0.35548836,0.6337342,0.8702855,0.9183886
0.38917685,0.46346232,0.40195176,0.5854418,0.4648216,0.42216724,0.7113874,0.82513124
0.4157854,0.3876523,0.44379514,0.6548763,0.4303277,0.5002189,0.78002715,0.88012093
0.64715976,0.46049273,1.0591925,1.2418317,0.47169644,0.57371676,0.7843082,0.8971676
0.28280026,0.1983119,0.08138902,0.3788942,0.24477719,0.6194615,0.93130994,1.0
0.5234685,0.49914682,0.72754,0.9051786,0.4842504,0.4453352,0.747089,0.84191006
0.3404839,0.34417853,0.27616575,0.51738024,0.37629887,0.48670456,0.8614818,0.8903127
0.38495773,0.49637428,0.511361,0.60478836,0.5492417,0.42219383,0.6864792,0.8012593
0.26875257,0.3102984,0.18476315,0.39187852,0.35416666,0.5580696,0.8083715,0.92284733
0.16060206,0.15355521,0.048841853,0.2300897,0.18931082,0.79508984,0.94864035,0.9993514
1.1299003,0.70499325,2.727529,1.9924781,0.6212926,0.44069386,0.70343655,0.8083201
0.84655404,0.6512063,1.5503314,1.4093049,0.584496,0.39071274,0.7449819,0.80944395
1.2075965,0.98717695,4.2337794,2.2217069,0.7520353,0.4833887,0.7416404,0.7814859
0.4858208,0.45631495,0.45654067,0.65593094,0.45740664,0.39917734,0.77499115,0.87260544
0.56873,0.93093497,2.399561,1.125686,0.71080184,0.35753793,0.84875005,0.8800915
0.3086598,0.343291,0.31988645,0.53403986,0.38728335,0.65892136,0.8270602,0.8655721
1.1946534,0.89520186,3.4180992,2.0676603,0.7158662,0.47034806,0.728952,0.7879102
0.86330676,0.77561086,2.0774662,1.4402068,0.67310494,0.44236192,0.6824737,0.7842212
1.1593503,1.0978414,4.3670635,2.1346126,0.7965176,0.28049868,0.5773854,0.7742299
