sample,cropped_percentage,rmse_org,rel_org,rmse_cropped,rel_cropped
bathroom/rgb_00045.jpg bathroom/sync_depth_00045.png 518.8579,75,0.37215155,0.29301113,0.2302423,0.117587276
bathroom/rgb_00046.jpg bathroom/sync_depth_00046.png 518.8579,75,0.22806647,0.07397757,0.9201361,0.4032248
bathroom/rgb_00507.jpg bathroom/sync_depth_00507.png 518.8579,75,0.2588025,0.092090584,1.2742293,0.54649806
bathroom/rgb_00508.jpg bathroom/sync_depth_00508.png 518.8579,75,0.36572435,0.14757034,1.0409838,0.35089228
bathroom/rgb_00509.jpg bathroom/sync_depth_00509.png 518.8579,75,0.2637082,0.1110229,0.5730551,0.2786159
bathroom/rgb_00510.jpg bathroom/sync_depth_00510.png 518.8579,75,0.2616809,0.12730339,0.60943055,0.24479401
bathroom/rgb_00511.jpg bathroom/sync_depth_00511.png 518.8579,75,0.20641968,0.119008735,1.1656154,0.44355315
bathroom/rgb_00512.jpg bathroom/sync_depth_00512.png 518.8579,75,0.08644054,0.04469463,0.47254327,0.22497581
bathroom/rgb_00649.jpg bathroom/sync_depth_00649.png 518.8579,75,0.33385292,0.18669747,0.4263258,0.22965813
bathroom/rgb_00650.jpg bathroom/sync_depth_00650.png 518.8579,75,0.1845495,0.11520094,0.47583154,0.26709518
bathroom/rgb_00655.jpg bathroom/sync_depth_00655.png 518.8579,75,0.19864145,0.08979866,0.5872507,0.28150642
bathroom/rgb_00656.jpg bathroom/sync_depth_00656.png 518.8579,75,0.2653075,0.10793748,0.38793105,0.19143376
bathroom/rgb_00657.jpg bathroom/sync_depth_00657.png 518.8579,75,0.588914,0.43748805,0.32123774,0.19871907
bathroom/rgb_00662.jpg bathroom/sync_depth_00662.png 518.8579,75,0.16277124,0.08336625,0.4312887,0.27769884
bathroom/rgb_00663.jpg bathroom/sync_depth_00663.png 518.8579,75,0.17921846,0.08375432,0.44884747,0.267583
bathroom/rgb_00667.jpg bathroom/sync_depth_00667.png 518.8579,75,0.25533816,0.064488016,1.974242,0.5723114
bathroom/rgb_00668.jpg bathroom/sync_depth_00668.png 518.8579,75,0.2536302,0.057729684,1.2108582,0.48449853
bathroom/rgb_00670.jpg bathroom/sync_depth_00670.png 518.8579,75,0.47407877,0.06732388,0.79340714,0.39162692
bathroom/rgb_00671.jpg bathroom/sync_depth_00671.png 518.8579,75,0.30809975,0.05127593,1.1198758,0.46512327
